Metric,Mean,Std Dev,Min,Max,Unit
Users,1.0000,0.0000,1.0000,1.0000,users
Client RPS,0.8611,0.3055,0.0000,1.4000,req/s
Client Response Time,97.2457,15.2196,57.1965,110.5521,ms
Client Failure Rate,0.0000,0.0000,0.0000,0.0000,%
Tier1 Throughput,0.7481,0.3388,0.0000,1.1666,req/s
Tier1 Response Time,0.0941,0.0219,0.0543,0.1209,ms
Tier1 CPU Utilization,0.0748,0.0346,0.0005,0.1308,cores
Tier1 Replicas,1.0000,0.0000,1.0000,1.0000,pods
Tier2 Throughput,0.7345,0.3206,0.0000,1.0333,req/s
Tier2 Response Time,0.0893,0.0141,0.0710,0.1077,ms
Tier2 CPU Utilization,0.0630,0.0316,0.0007,0.1144,cores
Tier2 Replicas,1.0000,0.0000,1.0000,1.0000,pods
